,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,screen_count,followers_count,friends_count,possibly_sensitive,user_mentions,place,place_coord_boundaries
0,2021-06-18 17:55:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","🚨Africa is ""in the midst of a full-blown third wave"" of coronavirus, the head of @WHOAFRO has warned

Cases have risen across the continent by more than 20% and deaths have also risen by 15% in the last week

@jriggers reports ~ 🧵
https://t.co/CRDhqPHFWM","🚨Africa is ""in the midst of a full-blown third wave"" of coronavirus, the head of HOAFRO has warned

Cases have risen across the continent by more than 20% and deaths have also risen by 15% in the last week

riggers reports ~ 🧵
","Sentiment(polarity=0.16666666666666666, subjectivity=0.18888888888888888)",0.16666666666666666,0.18888888888888888,en,548,612,ketuesriche,2,551,351,,"['TelGlobalHealth', 'WHOAFRO']",Mass,
1,2021-06-18 17:55:59,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate request for vaccines to Africa. We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa. https://t.co/sOgIroihOc","Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate request for vaccines to Africa. We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa. ","Sentiment(polarity=0.13333333333333333, subjectivity=0.45555555555555555)",0.13333333333333333,0.45555555555555555,en,195,92,Grid1949,1,66,92,,['globalhlthtwit'],"Edinburgh, Scotland",
2,2021-06-18 17:56:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Thank you @research2note for creating this amazing campaign &amp; turning social media #red4research today. @NHSRDFORUM is all about sharing the talent, passion  &amp; commitment of individuals coming together as a community for the benefit of all. You've done this. Well done 👋","Thank you esearch2note for creating this amazing campaign &amp; turning social media red4research today. HSRDFORUM is all about sharing the talent, passion  &amp; commitment of individuals coming together as a community for the benefit of all. You've done this. Well done 👋","Sentiment(polarity=0.3166666666666667, subjectivity=0.48333333333333334)",0.3166666666666667,0.48333333333333334,en,2,1,LeeTomlinson8,3,1195,1176,,"['NHSRDForum', 'Research2note', 'NHSRDForum']",,
3,2021-06-18 17:56:10,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Former Pfizer VP and Virologist, Dr. Michael Yeadon, is one of the most credentialed medical professionals speaking out about the dangers of the #Covid19 vaccines, breaks down his “list of lies” that keeps him up at night. https://t.co/LSE8CrKdqn","Former Pfizer VP and Virologist, Dr. Michael Yeadon, is one of the most credentialed medical professionals speaking out about the dangers of the Covid19 vaccines, breaks down his “list of lies” that keeps him up at night. ","Sentiment(polarity=0.08611111111111111, subjectivity=0.19722222222222224)",0.08611111111111111,0.19722222222222224,en,1580,899,RIPNY08,1,2666,2704,,['HighWireTalk'],,
4,2021-06-18 17:56:20,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",I think it’s important that we don’t sell COVAX short. It still has a lot going for it and is innovative in its design. But it needs more vaccines to share.  We’re hoping our low cost @TexasChildrens recombinant protein COVID19 vaccine with @biological_e will help fill some gaps,I think it’s important that we don’t sell COVAX short. It still has a lot going for it and is innovative in its design. But it needs more vaccines to share.  We’re hoping our low cost exasChildrens recombinant protein COVID19 vaccine with iological_e will help fill some gaps,"Sentiment(polarity=0.27999999999999997, subjectivity=0.6199999999999999)",0.27999999999999997,0.6199999999999999,en,72,20,pash22,1,28250,30819,,['PeterHotez'],United Kingdom,
5,2021-06-18 17:56:25,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","I’m pleased to welcome the #WeCanDoThis bus to Atlanta today! Remember, there are 3 easy ways to find a #COVID19 vaccine near you:  
🔍 Search https://t.co/d2PDWIps8o  
📱Text your ZIP code to 438829  
📞 Call 1-800-232-0233 https://t.co/AMmcMmCtiP","I’m pleased to welcome the WeCanDoThis bus to Atlanta today! Remember, there are 3 easy ways to find a COVID19 vaccine near you:  
🔍 Search   
📱Text your ZIP code to 438829  
📞 Call 1-800-232-0233 ","Sentiment(polarity=0.5083333333333333, subjectivity=0.7833333333333333)",0.5083333333333333,0.7833333333333333,en,683,220,SandhraLee,1,759,4163,,['CDCDirector'],USA,
6,2021-06-18 17:56:44,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Yet another amazingly qualified and courageous doctor, Roger Hodkinson, speaks out against the crazy government policy responses to COVID.  I have condensed his 45 minutes on The Hirewire to 6 Twitter size edits, starting with an overview of interventions and vaccines. https://t.co/WcVq32s9WD","Yet another amazingly qualified and courageous doctor, Roger Hodkinson, speaks out against the crazy government policy responses to COVID.  I have condensed his 45 minutes on The Hirewire to 6 Twitter size edits, starting with an overview of interventions and vaccines. ","Sentiment(polarity=3.700743415417188e-17, subjectivity=0.6333333333333334)",3.700743415417188e-17,0.6333333333333334,en,536,347,neilwalton48,1,221,599,,['RealJoelSmalley'],,
7,2021-06-18 17:56:46,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Yet another amazingly qualified and courageous doctor, Roger Hodkinson, speaks out against the crazy government policy responses to COVID.  I have condensed his 45 minutes on The Hirewire to 6 Twitter size edits, starting with an overview of interventions and vaccines. https://t.co/WcVq32s9WD","Yet another amazingly qualified and courageous doctor, Roger Hodkinson, speaks out against the crazy government policy responses to COVID.  I have condensed his 45 minutes on The Hirewire to 6 Twitter size edits, starting with an overview of interventions and vaccines. ","Sentiment(polarity=3.700743415417188e-17, subjectivity=0.6333333333333334)",3.700743415417188e-17,0.6333333333333334,en,536,348,Candide62,1,154,1102,,['RealJoelSmalley'],"Nord-Pas-de-Calais, France",
8,2021-06-18 17:56:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate request for vaccines to Africa. We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa.","Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate request for vaccines to Africa. We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa.","Sentiment(polarity=0.13333333333333333, subjectivity=0.45555555555555555)",0.13333333333333333,0.45555555555555555,en,197,93,AnneCar51323293,1,115,2030,,['globalhlthtwit'],,
9,2021-06-18 17:56:47,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","It is really something to see new research coming out about damage to the brain, heart, and more from #Covid19. And then watch our government reopen everything and just let Covid and #DeltaVariant spread wildly throughout our country.

Vaccines are great but we need to do more https://t.co/o8vX9TkY0Q","It is really something to see new research coming out about damage to the brain, heart, and more from Covid19. And then watch our government reopen everything and just let Covid and DeltaVariant spread wildly throughout our country.

Vaccines are great but we need to do more ","Sentiment(polarity=0.37272727272727274, subjectivity=0.46742424242424246)",0.37272727272727274,0.46742424242424246,en,3,1,DarkaDuna2014,1,94,144,,['LongCovidNYC'],"Bilbao, País Vasco",
